timestamp,open,high,low,close,volume,open interest
2026-03-23,6510.0,6748.0,6483.5,6634.75,2176195,1858637
2026-03-24,6635.0,6680.5,6573.5,6606.0,1924003,1871053
2026-03-25,6646.5,6684.75,6616.5,6640.75,1709266,1868645
2026-03-26,6641.5,6647.0,6517.0,6525.0,1689160,1879280
2026-03-27,6536.0,6568.5,6389.0,6412.25,1918291,1894119
2026-03-30,6380.0,6481.75,6359.5,6388.25,1793061,1945008
2026-03-31,6385.25,6583.25,6353.25,6570.75,2363577,1933040
2026-04-01,6562.0,6653.75,6561.0,6617.75,1752607,1894917
2026-04-02,6618.5,6644.5,6503.75,6622.25,1965184,1909967
2026-04-06,6590.0,6661.0,6567.0,6651.0,1064157,0
